id,idiom,idiom_extracted,definition_jp,example,example_jp,fill_in_the_blanks,tips,created_at
1094,take notice of A,take notice of,Aに注目する/関心を寄せる,"However hard I try to attract him, he takes almost no notice of me.",どんなに彼を引きつけようとしても、彼はほとんど私に注意を払わない。,"However hard I try to attract him, he _____ almost no notice of me.",,2025-12-24 02:26:37.705585+00
1095,take pride in A,take pride in,Aに誇りを持つ,My wife seems to take pride in her father being a rich man.,妻は父が金持ちであることを誇りに思っているようだ。,My wife seems to _____ her father being a rich man.,同義 be proud of A / pride oneself on A,2025-12-24 02:26:37.705585+00
1096,take[have] a look at A,take a look at,Aを見る,Let's take a look at this photo.,この写真を見てみよう。,Let's _____ this photo.,,2025-12-24 02:26:37.705585+00
1097,take (the) trouble to do,take the trouble to,わざわざ〜する/手間をかけて〜する,The kind officer took the trouble to guide me to the station.,親切な警官はわざわざ駅まで案内してくれた。,The kind officer _____ to guide me to the station.,"わざわざ竹とんぼ(take trouble)を作る 同義 go to the trouble of doing ",2025-12-24 02:26:37.705585+00
1098,pay attention to A,pay attention to,Aに注意を払う,"Please pay attention to any stories mentioned in the lecture, as they may be asked on the next exam.",講義で語られた話に注意しなさい、それは次の試験で問われるかもしれない。,"Please _____ any stories mentioned in the lecture, as they may be asked on the next exam.",,2025-12-24 02:26:37.705585+00
1099,come of age,come of age,成人になる/成年に達する,"In Japan, people come of age when they turn 18.",日本では18歳になると成人する。,"In Japan, people _____ when they turn 18.",成人したらコメ(come)ヲ(of)アゲ(age)よう,2025-12-24 02:26:37.705585+00
1100,come into existence,come into existence,（人・物）が生まれる／出現する,This rule came into existence last year.,この規則は昨年制定された。,This rule _____ last year.,同義 come into being,2025-12-24 02:26:37.705585+00
1101,put an end to A,put an end to,Aを終わらせる／Aに終止符を打つ,The teacher put an end to the noisy conversation.,先生は騒がしい会話を終わらせた。,The teacher _____ the noisy conversation.,end を置く→A に終わりを置く＝終わらせる,2025-12-24 02:26:37.705585+00
1102,come to terms with A,come to terms with,A（困難など）を（あきらめて）受け入れる,She came to terms with the fact that she failed the test.,彼女は試験に落ちた事実を受け入れた。,She _____ the fact that she failed the test.,同義 accept A,2025-12-24 02:26:37.705585+00
1103,leave nothing to be desired,leave nothing to be desired,申し分ない／完璧である,The hotel service left nothing to be desired.,ホテルのサービスは申し分なかった。,The hotel service _____.,左(レフト)利きではないこと(nothing)は完璧desire,2025-12-24 02:26:37.705585+00
1104,leave much [a lot] to be desired,leave much to be desired,遺憾な点が多い／改善の余地がかなりある,His explanation left much to be desired.,彼の説明は不十分だった。,His explanation _____.,とても左(レフト)利きなことは誠に遺憾desire,2025-12-24 02:26:37.705585+00
1105,make the most of A,make the most of,A（機会・能力・有利な条件など）を最大限に活用する,I want to make the most of my time in high school.,高校生活で時間を最大限活用したい。,I want to _____ my time in high school.,mosバーガーをmakeすることはあなたの能力を最大限利用する(語順注意),2025-12-24 02:26:37.705585+00
1106,bring A home to B,bring A home to B,A（の深刻さ・困難さ・危険性など）をB（人）に痛感させる,The accident brought home the importance of safety to us.,事故は私たちに安全の重要性を痛感させた。,The accident _____ the importance of safety to us.,Aは倒置されがち！危険を痛感して、homeに引きこもる,2025-12-24 02:26:37.705585+00
1107,hold good,hold good,（規則・カードなどが）有効である,The law still holds good. Get out of here right now!,その法律は今も有効だ。今すぐ出て行け！,The law still _____. Get out of here right now!,ゴールドカードがホールドグッド！,2025-12-24 02:26:37.705585+00
1108,"tell A apart ",tell A apart,Aを見分ける / 区別する,Sometimes it is difficult to tell the truth apart from lies.,真実と嘘を見分けるのは難しいことがある。,Sometimes it is difficult to _____ the truth apart from lies.,お前の家(アパート)どっち？,2025-12-24 02:26:37.705585+00
1109,point out that ...,point out that,⋯ということを指摘する,The teacher pointed out that I had made a mistake.,先生は私が間違えたことを指摘した。,The teacher _____ that I had made a mistake.,あ、その点入って無いっすね,2025-12-24 02:26:37.705585+00
1110,see (to it) that ...,see to it that,(必ず) ...するように取りはからう / 気をつける,Can you see to it that you call me tomorrow morning?,明日の朝、私に電話するように手配してくれますか。,Can you _____ that you call me tomorrow morning?,見た目で決めつけず、see to it！,2025-12-24 02:26:37.705585+00
1111,take it for granted (that) ...,take it for granted that,⋯ということを当然と思う,We take it for granted that clean water is always available.,私たちは常にきれいな水が利用できるのは当然だと思っている。,We _____ that clean water is always available.,「grant」が「与える」→あたりまえのこと！,2025-12-24 02:26:37.705585+00
1112,make sure (that) ...,make sure that,確実に...する / 必ず...するようにする,I will make sure he knows the truth.,私は彼が真実を知っていることを確実にする。,I will _____ he knows the truth.,絶対、そのスレ、負けさせる。（make sure）,2025-12-24 02:26:37.705585+00
1113,make believe (that) ...,make believe that,⋯というふりをする,He made believe he was asleep.,彼は寝たふりをした。,He _____ he was asleep.," 君の運命の人は僕じゃないって信じてる。",2025-12-24 02:26:37.705585+00
1114,have no choice but to do,have no choice but to,...するより仕方ない / ...せざるをえない,She had no choice but to leave the country due to her health issues.,健康上の理由で彼女は国を離れるしかなかった。,She _____ to leave the country due to her health issues.,選択肢は無い、やる以外に「but (=以外に) to do」,2025-12-24 02:26:37.705585+00
